model,field,accuracy,precision,recall,f1_score
llama-3.1-8b-instant,lymph_nodes_positive_count,0.6349206349206349,0.7113756613756613,0.6349206349206349,0.5981526410097838
kimi-k2-instruct,histologic_type,1.0,1.0,1.0,1.0
kimi-k2-instruct,histologic_variant,0.8548387096774194,0.8892857142857143,0.8548387096774194,0.8707883643756166
kimi-k2-instruct,tumor_size,0.8548387096774194,0.848781460475009,0.8548387096774194,0.8474558078285535
kimi-k2-instruct,tumor_site,0.8387096774193549,0.861847158218126,0.8387096774193549,0.8480477262172685
kimi-k2-instruct,extrathyroidal_extension,0.8225806451612904,0.8730211535814253,0.8225806451612904,0.8454019099180389
kimi-k2-instruct,margins,0.8225806451612904,0.946405529953917,0.8225806451612904,0.8749334122521456
kimi-k2-instruct,focality,0.8870967741935484,0.9175786716423266,0.8870967741935484,0.9011105235325225
kimi-k2-instruct,lymph_nodes_resected,0.9193548387096774,0.9544044665012407,0.9193548387096774,0.9266018767775395
kimi-k2-instruct,lymph_nodes_positive_count,0.8548387096774194,0.8630568356374808,0.8548387096774194,0.8485562279391171
mistral-large-3,histologic_type,1.0,1.0,1.0,1.0
mistral-large-3,histologic_variant,0.8709677419354839,0.9035723652167397,0.8709677419354839,0.8861928394186458
mistral-large-3,tumor_size,0.8548387096774194,0.8349565756823822,0.8548387096774194,0.8410041949253276
mistral-large-3,tumor_site,0.8387096774193549,0.883616298811545,0.8387096774193549,0.8511064535963873
mistral-large-3,extrathyroidal_extension,0.7741935483870968,0.8524375454765947,0.7741935483870968,0.808554885974241
mistral-large-3,margins,0.8548387096774194,0.9494416873449131,0.8548387096774194,0.8959604766056379
mistral-large-3,focality,0.9032258064516129,0.918765175164759,0.9032258064516129,0.9103904744033708
mistral-large-3,lymph_nodes_resected,0.9516129032258065,0.9544044665012407,0.9516129032258065,0.9491758432505243
mistral-large-3,lymph_nodes_positive_count,0.8870967741935484,0.9059139784946237,0.8870967741935484,0.8846742317990565
