id	filename	md5	size	state
0b28f14d-c705-4150-8a81-661297e8e9e0	nationwidechildrens.org_clinical.TCGA-FY-A3R8.xml	48826d3f98574b6e4c640f593842d55e	62611	released
e2006898-468f-42ba-929e-ecf66bda2259	nationwidechildrens.org_clinical.TCGA-EM-A22J.xml	541e758adbacdb457bd1044158047f10	45020	released
84210d67-6993-4f69-a88f-353d8cd1ef6f	nationwidechildrens.org_clinical.TCGA-DJ-A4UR.xml	c09ea7192310d82917683e8277ae75a6	66946	released
b28ecc76-c18d-46f3-af0d-7f7bbbc2a2a3	TCGA-DJ-A4UR.E27BD8E1-D5E4-4506-83D1-FF05EF12C3B4.PDF	0a97921d157323ecf8ababff946e45b1	349858	released
d1a7100c-e157-4ad9-ba7c-f518969f94b6	TCGA-DJ-A13L.52AF2DB0-ABEF-44A8-ADD8-9A5E6F8EF624.PDF	4fcd9dc2278de588d8e305dd0680b5d4	126776	released
fd2b8005-cf62-45a9-a00b-5997e0be2914	TCGA-ET-A3BS.15B854F2-949F-497F-B47D-C4DC3E8D9693.PDF	c400e5430b3a9e7624cb19c1492b5fb8	63463	released
4d48e405-f57b-4b97-adce-d969c5f3f846	TCGA-ET-A40S.82520D7D-DA01-4884-BFD9-1396B05E0C5A.PDF	b7c0afbc584e81dca32b0a39bdba6ecd	52079	released
61182d5b-6830-4605-b619-123cd91cfb9b	nationwidechildrens.org_clinical.TCGA-EM-A2CT.xml	c1aa057596c25b74f135d5eaaccbafb7	53467	released
26fcc2da-b396-4d87-bc79-4143cd4f2ff6	TCGA-EL-A3CZ.3C4CDCCA-488D-40B2-96AA-1D7B78669FE9.PDF	058e2981f213bb766ad9bbb383fe10eb	122857	released
7a8f7f58-800d-4b3e-a730-cd036422f574	nationwidechildrens.org_clinical.TCGA-EM-A3FJ.xml	7f7f0594666f64fa06e0709009c31275	40450	released
07c29160-e8e9-4d64-add2-fa6621efdab2	nationwidechildrens.org_clinical.TCGA-EM-A2P3.xml	df0320c56d3e12cda12c3762b5384ac1	40263	released
f183a7f1-3e32-4a95-b258-6ed5d9ab9977	nationwidechildrens.org_clinical.TCGA-DJ-A1QG.xml	f69906147b162768c7750198b893d934	53722	released
d2a74de7-d516-4855-9dbf-4fd14b0d3e6a	nationwidechildrens.org_clinical.TCGA-EM-A4G1.xml	14d0c3c2ed0874605ee2a87cfbe591fe	47252	released
c49127e3-5aac-4aa3-a9e7-829adb1e6fc7	nationwidechildrens.org_clinical.TCGA-BJ-A4O9.xml	7ad0a4d38154c8dac90bbedea67ea422	46905	released
471d5862-81cf-4080-b632-be04773d3694	TCGA-EL-A3GW.9093C3DC-F933-4705-86BF-9CA24A98C624.PDF	9f930365948af9e93901b4b0446acb2f	99558	released
55fcbd60-9fcf-446c-9e31-20023085c340	TCGA-BJ-A4O9.526938F6-37F3-4B78-AFE5-301AED24EADA.PDF	3165487a769bb058ce23868f712c487d	172767	released
14b8d4b3-a2fe-48fc-82c4-94b5a107a5ed	nationwidechildrens.org_clinical.TCGA-DE-A4MD.xml	6e8931046b43d004212d72c84d53ddd0	62298	released
ebb497ce-95e5-4038-9fbc-5e632a8cc7da	TCGA-DE-A4MD.931E6481-993D-4DF4-81DB-2796377A6B96.PDF	3d4b3018d08ff15b50eb5109a5dd573b	278847	released
89d79554-b96b-48de-9da9-85669d62f306	TCGA-FY-A3I4.9D03B6BA-32C0-47A1-B296-A7E9BD2B2EEF.PDF	20e00eeeaa037a2055f4ec9be590060f	116456	released
4829b2f5-aa27-4386-98f6-352bc7053693	TCGA-FY-A3YR.1DA19725-B6C2-44B7-A164-2FAB6CD3DE2C.PDF	b3b0e4309286707eff9a188e03156c37	234728	released
df35914f-39e3-4523-9b90-6fb61d8c05e0	TCGA-ET-A39L.C284BB2D-209D-42BD-9DDC-DD5C152BE2CE.PDF	a984a86feb8a2a0284ea6b0d91ccf4eb	55186	released
16ec5faa-e3a4-486f-b6d7-d94e25839952	TCGA-KS-A4IB.53A2A6C2-4847-459F-8881-E4C37FEF9D9E.PDF	eba3ba18a90c410f4e4f3ed194c632e4	101958	released
2aef3bbb-6334-47e3-9e6d-f262c17b678a	nationwidechildrens.org_clinical.TCGA-KS-A4IB.xml	f26769c880159ea2b74005914a83eac2	63380	released
a1081003-b6db-4d85-bf9e-086562d01faf	TCGA-EM-A3ST.1056960E-3020-440D-976D-B29BFCC93991.PDF	3d4ed8e7d9dcf5b179730bf19aea7e0a	153211	released
00443bd9-9fef-4296-abc4-fd4188ba1086	nationwidechildrens.org_clinical.TCGA-EM-A2OY.xml	a334fe72a34991c042d2b9673af249df	58367	released
45684d35-3ce4-4020-a9f5-333bd79e44af	TCGA-EL-A3TA.784D0924-C38E-4C85-914B-B7F123F3E3C5.PDF	6d911bc0efea1398c581163eb2cb3a50	138570	released
54931524-aac7-41fd-8403-5a0ed63703af	nationwidechildrens.org_clinical.TCGA-E8-A413.xml	a80bb12cfa94c8067221c8b07377b3bf	60063	released
4bcbb096-ddf4-4b74-bae1-9c6f2a6c65f6	TCGA-DJ-A2PO.752F974A-53AA-4946-9994-E4E49EEE5AEC.PDF	abcc82ad479edd1d6f0d39dd1130c1ec	164402	released
6777d419-fb9e-4714-abf5-dc4b3289fd41	TCGA-DJ-A2PW.AED8092A-40A2-4376-AB04-8D31896D7FE5.PDF	85d26f0c58060aa504e73e8a2a8100c8	121312	released
c6483632-0508-49e1-bf4a-7d7bf6958a9e	TCGA-DJ-A3UK.C4494D77-7172-4C95-95D4-CFCC3A0F66C5.PDF	35a55df69f42936c314ead4edc901178	110265	released
984e107d-da8c-46fa-81c8-0e1cdc6c6476	nationwidechildrens.org_clinical.TCGA-FY-A3R9.xml	9c076d0b9c4223c8a38b9ad6d77300b3	52663	released
de02534d-178d-46ec-8bf3-5afaea43f0a4	nationwidechildrens.org_clinical.TCGA-L6-A4EQ.xml	1f5d035eacb0089de3a5696ecb3bc988	52205	released
a29c7fe5-ac5b-4f91-8025-e2af405c9806	TCGA-FY-A3R9.312CB64B-BDC4-4B69-BBEA-EA51B2D349DA.PDF	c61118da6fbc26d2eb364aa3902d2894	154044	released
82d934be-28f1-4153-8cc3-dc9868be0ee4	TCGA-DJ-A3UO.53819A9B-A594-445D-BD36-BB29B7FC0607.PDF	1d28f6009c68e6d2e363391a1db697b5	168815	released
2178a867-6113-4da0-b698-cb82db464924	nationwidechildrens.org_clinical.TCGA-DJ-A1QD.xml	c7d3963bb232e95b49d9c644a365bc74	53582	released
d299212f-04fd-4473-a371-a0e35330f1e1	nationwidechildrens.org_clinical.TCGA-ET-A3BT.xml	ec5fbb302da0afd3f9c4e7aef22511b0	59143	released
11f93215-95bc-4e50-aa2a-b55b778ed84b	TCGA-ET-A3BT.66200460-5621-4F64-A7D2-ECDF3793D63C.PDF	e8bffc633b5c939ad27530e2644adc3c	74921	released
da7f5f20-9ff2-4a11-9ad5-d92f992a1b00	nationwidechildrens.org_clinical.TCGA-DJ-A3VD.xml	81a1bf6a8afb34147ddf5ee8ff4e99ea	65691	released
2de9b9af-6893-4af7-b097-8ec0ea4dae29	TCGA-EL-A4K7.74E7A957-CB8F-4D15-9EA7-40E1B7EC36FA.PDF	5fcaa0a53627db839f65edc0ca6b5705	110883	released
314ef293-071d-475f-94cb-30aa57499b57	TCGA-DJ-A1QE.B7953E61-5047-4648-8A15-DE47510090BE.PDF	3c344ea9e5556571b16a7605fd36a94d	115108	released
